Player,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,Team Wins,Overall Seed,All-Star
Chris Boucher\bouchch01,TOR,80,21.1,9.4,6.2,0.3,0.6,0.9,0.464,0.297,0.777,6,0.169,0.9,0,48,5,0
Jordan Poole\poolejo01,GSW,76,30,18.5,3.4,4,0.8,0.3,0.448,0.364,0.925,6,0.126,1.7,1,53,3,0
Jarred Vanderbilt\vandeja01,MIN,74,25.4,6.9,8.4,1.3,1.3,0.6,0.587,0.143,0.656,6,0.153,1.1,0.2,46,7,0
Terry Rozier\roziete01,CHO,73,33.7,19.3,4.3,4.5,1.3,0.3,0.444,0.374,0.852,5.9,0.115,2.3,1.7,43,10,0
LaMelo Ball\ballla01,CHO,75,32.3,20.1,6.7,7.6,1.6,0.4,0.429,0.389,0.872,5.8,0.116,3.3,3.4,43,10,1
Hassan Whiteside\whiteha01,UTA,65,17.9,8.2,7.6,0.4,0.3,1.6,0.652,,0.623,5.8,0.238,1.2,2.1,49,5,0
Jaylen Brown\brownja02,BOS,66,33.6,23.6,6.1,3.5,1.1,0.3,0.473,0.358,0.758,5.8,0.124,2.2,2.1,51,2,0
Zach LaVine\lavinza01,CHI,67,34.7,24.4,4.6,4.5,0.6,0.3,0.476,0.389,0.853,5.8,0.12,2.6,2.4,46,6,1
Kevin Love\loveke01,CLE,74,22.5,13.6,7.2,2.2,0.4,0.2,0.43,0.392,0.838,5.7,0.164,2.7,4.5,44,8,0
Domantas Sabonis\sabondo01,IND,47,34.7,18.9,12.1,5,1,0.5,0.58,0.324,0.74,5.7,0.168,2.7,4.6,25,13,0
Marcus Smart\smartma01,BOS,71,32.3,12.1,3.8,5.9,1.7,0.3,0.418,0.331,0.793,5.6,0.116,1.5,0.5,51,2,0
Tobias Harris\harrito02,PHI,73,34.8,17.2,6.8,3.5,0.6,0.6,0.482,0.367,0.842,5.6,0.105,1.3,0,51,4,0
Cameron Johnson\johnsca02,PHO,66,26.2,12.5,4.1,1.5,0.9,0.2,0.46,0.425,0.86,5.6,0.156,2.1,2.7,64,1,0
Gary Trent Jr.\trentga02,TOR,70,35,18.3,2.7,2,1.7,0.3,0.414,0.383,0.853,5.6,0.11,1.3,0.2,48,5,0
Kristaps Porziņģis\porzikr01,WAS,51,29,20.2,8.1,2.3,0.7,1.6,0.459,0.31,0.867,5.6,0.18,2.2,3.9,35,12,0
Terance Mann\mannte01,LAC,81,28.6,10.8,5.2,2.6,0.7,0.3,0.484,0.365,0.78,5.5,0.113,0.8,-0.6,42,8,0
Bobby Portis\portibo01,MIL,72,28.2,14.6,9.1,1.2,0.7,0.7,0.479,0.393,0.752,5.5,0.131,1.1,0.2,51,3,0
Isaiah Hartenstein\harteis01,LAC,68,17.9,8.3,4.9,2.4,0.7,1.1,0.626,0.467,0.689,5.5,0.215,2,4.5,42,8,0
Royce O'Neale\onealro01,UTA,77,31.2,7.4,4.8,2.5,1.1,0.4,0.457,0.389,0.804,5.5,0.109,1.7,0.8,49,5,0
Jaren Jackson Jr.\jacksja02,MEM,78,27.3,16.3,5.8,1.1,0.9,2.3,0.415,0.319,0.823,5.4,0.121,1,-0.1,56,2,0
Monte Morris\morrimo01,DEN,75,29.9,12.6,3,4.4,0.7,0.2,0.484,0.395,0.869,5.4,0.116,1.1,0,48,6,0
Khris Middleton\middlkh01,MIL,66,32.4,20.1,5.4,5.4,1.2,0.3,0.443,0.373,0.89,5.3,0.119,1.9,1.6,51,3,1
Evan Mobley\mobleev01,CLE,69,33.8,15,8.3,2.5,0.8,1.7,0.508,0.25,0.663,5.2,0.107,1.5,0.6,44,8,0
Bojan Bogdanović\bogdabo02,UTA,69,30.9,18.1,4.3,1.7,0.5,0,0.455,0.387,0.858,5.2,0.118,1.1,0,49,5,0
Gary Payton II\paytoga02,GSW,71,17.6,7.1,3.5,0.9,1.4,0.3,0.616,0.358,0.603,5.2,0.199,1.8,3.7,53,3,0
Aaron Gordon\gordoaa01,DEN,75,31.7,15,5.9,2.5,0.6,0.6,0.52,0.335,0.743,5.2,0.105,0.9,-0.6,48,6,0
Derrick White\whitede01,SAS,49,30.3,14.4,3.5,5.6,1,0.9,0.426,0.314,0.869,5.1,0.111,1.6,0.9,34,10,0
